gene	log2FoldChange
Slc25a48	0.508750306
Slc9a8	-0.464562674
Tbc1d2b	0.339768933
Tspan3	0.380023475
Zer1	-0.444454898
3110001I22Rik	-0.534474962
BC018507	0.315381531
Efcab4a	-0.488428019
Fancb	0.885970929
Gm4675	1.000770366
Kcnc3	0.685133768
Mctp1	1.014804012
Repin1	-0.756594847
Sdc3	-0.439348044
Wdr78	0.617751492
Ssh1	0.459763487
Zswim1	-0.52880479
Ogt	0.39581922
Cd302	0.990397254
Jmjd6	-0.318574392
Wapal	-0.285718439
Zfp738	0.727943686
Slc35b2	0.33674347
Abca9	0.983784166
Lsm6	0.493937165
Oas1b	-0.999695677
Rc3h1	0.259043808
A930004D18Rik	0.962708081
Acot13	0.551760741
Bin1	0.426898046
Btbd6	0.410885041
Ccrl2	0.44622735
Cited4	0.897756951
Clstn1	-0.264614105
Eny2	0.326644521
Etfa	0.271445645
Fam13b	-0.317689519
Gm12981	0.800363201
Hnrnpu	-0.258380392
Idh1	0.427647873
Il1f9	0.592915674
Ncoa6	-0.287810814
Pmf1	0.580780724
Pogz	-0.287989327
Pon3	0.642185217
Ptpn21	-0.348236515
Pycard	0.648806914
Snord42a	0.994754435
Stat5a	0.496758926
Tex10	-0.319880784
Tkt	0.306987427
Trappc6a	0.408565407
Trim36	0.628212099
Txndc11	-0.328616212
Txnl4a	0.382832499
Usp12	-0.268696503
Ybey	-0.802197405
Zeb1	0.661537818
Zfp869	-0.465839874
Gm10020	0.693955549
Sephs1	0.346409513
Wdr65	0.876336298
Wrap53	-0.52717435
Ltbp3	-0.237090105
Nupl1	-0.359906013
Tgm1	-0.455413296
Coq5	-0.429120307
Yap1	0.267008705
Rab35	-0.342522885
Irgq	-0.388182386
Fam60a	0.330138076
AI480526	0.638405972
Cd1d1	1.002285291
1600014C10Rik	0.555060691
Cdc25a	-0.366963867
Golgb1	-0.310952259
Dlk2	-0.487009934
Mtf1	-0.293141001
Rnf208	-0.316196493
Wasl	0.274751112
Lace1	0.609817325
Pcca	0.371528715
Rrnad1	0.375255849
Dennd2a	0.677508415
Arrdc4	0.365585858
4922501C03Rik	0.537558643
Anapc11	0.371251294
Atp5g3	0.26225576
Inpp4a	-0.348755083
Megf8	0.330208619
Rbl1	0.578784798
Rsl1d1	-0.311200527
Acbd4	0.476448606
Anxa11	-0.330400306
Arhgdia	-0.249746857
Atp6v0e	-0.252063312
Cdc42bpg	-0.270594744
Fermt2	-0.331722406
Grem2	0.790866369
Il10rb	0.655906232
Lsm12	0.280802739
Lyrm2	0.739135607
Macrod2	0.649037667
Map3k2	0.303846498
Pnck	0.953018699
Prkcd	-0.318592703
Sh3gl1	-0.264261797
Zc3h18	-0.271802363
Zmym5	-0.280709673
Pus7	-0.379830518
Gm14295	0.50943515
Clpx	-0.287233646
Gm26667	0.986421712
Hpdl	-0.931588196
Ipp	-0.780428995
Lgr6	0.378070985
Psenen	0.356176858
Aga	0.482562753
Oxsr1	0.294149175
Reep3	-0.290561714
Asph	0.356428024
Kctd14	0.876730572
Kpna4	-0.315414539
Pcgf6	-0.340670298
Ggh	0.48450346
Mex3d	-0.320270194
Saal1	0.590590283
Ttf2	0.564937093
Ythdc1	-0.255781062
Ccr5	0.99132022
Arc	0.375409565
Emd	-0.329772788
Tmem86a	-0.840665819
Ndufs3	0.343626693
Notch4	0.970267536
Plekha7	-0.252880369
Catsper4	-0.919701822
Shank3	-0.753756762
Trbc2	0.711050327
Paqr4	0.578662461
Rps6	0.242213907
Sat2	0.991774609
Grk4	0.744332951
Heatr5a	-0.329610073
Herc2	-0.268969807
Hivep2	-0.328302299
Rnf40	-0.276161831
Sycp1	-0.969466787
Tlcd2	0.571866328
Upf1	-0.272778722
Pisd-ps2	-0.582226884
Plekhg3	-0.315596534
Sash1	0.293179441
Shb	-0.300627787
Slc2a9	0.855792635
Txnip	0.328007706
Vps37a	-0.312079464
Ctdspl2	-0.363722168
Heatr2	-0.363233038
Nosip	-0.378997869
Rpl10a	0.216313753
Aadac	-0.876479785
Morf4l2	-0.260929833
Cenpo	0.659780362
Il20rb	0.438118662
Kif24	0.966039334
Psma7	0.292878429
Sorbs1	-0.642831757
Uba6	-0.327855851
Airn	-0.643327133
Abcc4	0.747345743
Trim11	0.402622618
Dopey2	-0.312255526
Celsr2	0.370385065
Rad52	0.398539834
1110004E09Rik	0.531385381
Ercc2	-0.334359233
Hiatl1	0.267292677
Gm9843	0.909432544
Ltbp4	-0.248726146
Trp53inp2	0.308087845
Mocs1	0.571803134
Taok1	-0.311423737
Bzrap1	-0.478565933
Cox20	0.527342485
D17Wsu104e	-0.327147031
Epb4.1l3	0.506721562
Gapdhs	0.983041217
Itsn2	-0.379001031
Lgr4	0.254694034
Mrpl49	0.470986406
P2rx5	0.937145759
SNORA43	0.978218498
Setbp1	-0.31160251
Zfhx3	-0.453334856
A330023F24Rik	0.614919111
Mms19	0.357651617
Ptpn2	-0.371267369
Rab43	-0.315255199
Casq2	-0.866482328
Ccdc25	-0.33899714
D830025C05Rik	-0.975719728
Dab2	-0.330082081
Gphn	-0.312194974
Kmt2d	-0.301738856
Lage3	0.578798858
Slc25a13	0.366452796
Stx8	-0.404692711
Zfp420	-0.63272041
Zkscan7	0.930356878
Alg8	0.732603491
Scaf1	-0.272354548
Caprin1	-0.245817637
Ccdc90b	0.580090701
Gm22362	-0.77846431
Lgals8	0.288317028
Limd1	0.26252658
Mina	0.410218228
Pnpla1	0.848591064
Ppil4	-0.343032344
Rgs2	0.261663523
Snora21	0.876776462
Ubr5	-0.318882173
Mmp15	0.523197447
Magi3	-0.453666076
Fbln2	0.330596339
Il7r	0.906241142
Nlrc3	-0.850232993
Sfxn3	0.301215239
Fam168a	0.315029883
Akt1	-0.241984513
Btbd7	-0.327909188
Mkx	0.966138638
Zfp60	0.656080715
Gm17092	0.952745212
Gpx4	0.275930408
Scaf4	-0.343687202
Szt2	0.336061853
Zfp329	0.532939786
Creb3l2	-0.304993123
Gpr133	0.729925997
Commd7	0.433003195
Zfp472	-0.716368836
Lmx1b	-0.610222278
Sntb1	-0.321205392
Tnfrsf9	0.9669293
Tubb6	0.352415815
Vps54	0.286013741
2700089E24Rik	0.360172337
BC022687	-0.555202716
Bcas3	-0.297733365
Cant1	0.379296648
Ccdc28a	0.818262945
Cobl	0.60042617
Gcnt4	0.726488808
Gm23711	-0.970074362
Gyltl1b	0.409017442
Hps1	0.553091415
Hs3st1	0.958285073
Kbtbd7	0.60294028
Lars	-0.333671579
Ldoc1l	0.921112066
Lhx2	-0.343625279
Lrrk2	0.875444268
Nudt21	0.292407109
Pbld1	0.876409347
Prdx1	0.297150829
Pum1	-0.267035144
Rps23-ps	0.865376902
Rsu1	-0.298701823
Serpina3j	-0.761513273
Sgsm3	-0.482331592
Slc12a4	-0.25437153
Slc25a33	-0.514021916
Slc37a2	0.802303993
Spata13	0.724469632
Sptbn1	-0.246019033
Srsf2	-0.236403537
Tbc1d4	0.548146766
Tifa	0.917518324
Zdhhc7	0.386542547
Zfp867	-0.494144115
Znhit2	0.522848422
Mirlet7c-1	0.949150443
A330021E22Rik	0.967671392
Dnm2	-0.264650065
Nudt16l1	0.370308361
Pax3	0.951023941
Rock2	-0.351620624
Brpf1	-0.258924885
Ndufb3	0.389821966
Tenm4	0.37694835
Tmtc4	0.361724219
Rdh10	0.420658469
Lgalsl	0.37417804
Zfp799	0.812460704
Abca12	0.466329416
Rfwd3	-0.312114375
Polr2f	0.455616535
Ptprk	-0.311967685
1110008L16Rik	0.516129531
Clec3b	-0.621669976
Ddx42	-0.269909145
Gm15545	0.927094639
Gm26924	0.846187114
Pcnx	-0.290663292
Trim72	0.860747319
Zfp219	-0.244510578
Psmf1	0.348786807
Qsox2	-0.416187306
Csf2rb	0.591821763
Pdgfb	0.348432416
Tbx3	0.941775451
Cst3	-0.266631744
St8sia4	0.951068238
Fads2	0.960213812
2010015M23Rik	0.932690917
Arid2	-0.312121495
Fbxo5	0.78237873
Grb7	0.475460317
Gss	-0.312266675
Krt14	-0.255859989
Rpl28-ps1	0.835567118
Traf2	0.294883988
Utp18	-0.361597661
Vkorc1	0.508407599
Asnsd1	0.494813412
9130019O22Rik	-0.587599655
Alg13	0.384466822
Mir343	0.961486751
Apod	0.673535495
Ipo11	-0.46652777
Lbr	-0.28562154
Map2k3	-0.289429575
Plcd1	-0.282290254
Rps24	0.24812411
2310022B05Rik	-0.258748626
Ccdc60	-0.957341732
Eif4g1	-0.267938323
Focad	-0.371931906
Gpr173	0.899376175
Hagh	-0.324238322
Otud3	-0.417717087
Rps26	0.252389928
Sgk3	-0.312392681
Sod2	0.331666872
Col24a1	0.954560012
Tmem184b	-0.285476789
Tspan6	0.661654731
Xkr8	0.922290505
Pmm2	0.318571021
Arid5b	-0.3047732
C330018D20Rik	0.731567335
Cask	0.310142233
Dync1li1	-0.283202536
Gm22168	0.9573943
Gm53	-0.347980877
Oxa1l	0.395826671
Pkn3	-0.346815804
Smad6	-0.351845104
Specc1	-0.427669918
Zfp507	-0.356077534
Gm5914	0.951949445
Nbr1	-0.258343669
Tmx1	0.302636785
Mrps30	0.435675615
Mir1957	-0.939204835
Ppp1cb	-0.319890097
Maea	-0.248531456
Prrc2a	-0.246244143
Scn3a	-0.94159654
Stx3	-0.378651308
Adamts17	0.455410973
Btc	-0.859241832
Gm5084	0.940107314
Kpna2	-0.311212207
Tox2	0.876975626
Trip6	-0.253889033
Amotl2	-0.399345208
Atad2	0.348696073
Cic	-0.234824593
Cyp4f16	0.573085475
Ell3	-0.953417654
Fanci	0.919223648
Gm26387	0.929988683
Gpr160	0.55975511
Irf7	-0.420524642
Mboat1	0.373611646
Mef2c	0.927337645
Pglyrp4	0.692432655
Rpl4	0.227538001
Rpl9	0.247339585
Serpine1	0.37454497
Tgs1	-0.349797472
Tor3a	-0.383867043
Ube2g1	-0.276446815
Rere	-0.234936304
Foxk2	-0.280418033
Lztr1	0.273609686
Ap2s1	0.382409371
Ccdc23	0.526148425
Hmgcs2	0.867441904
Sowahc	-0.300178613
Ercc6	-0.322415061
Ifrd1	-0.366306649
Tmcc3	-0.379627272
Atp13a2	-0.300847104
Plekhg6	-0.333555744
Dgcr6	0.484395107
Rnf41	-0.303984707
Adcy5	0.867109704
Cnn1	-0.461417476
Ddx6	-0.240053372
Dus4l	0.756195133
Gm11613	0.670857808
Hdac3	-0.299261191
Hectd2	-0.490012502
Lcp2	0.943995229
Mrpl47	0.626017597
Nop56	-0.295326599
Phgdh	0.333274035
Prrc2c	-0.290959028
Rian	0.721089203
Rsrc2	-0.243487175
Samd14	0.376121806
Sap18	-0.281800769
Sptbn4	-0.92148007
Srsf7	-0.293384211
St14	0.317445451
Tjp2	-0.373298956
Dnah2	0.710771085
Mfsd2a	0.46499506
Snord16a	-0.814130281
Fah	0.332309409
Cox5b	0.301285304
Mvb12b	-0.342664487
Cbr1	0.400256747
Lyar	-0.300533239
Armc7	-0.524382604
Ccdc85b	-0.315868583
Gm13717	-0.867022174
Hsf2bp	0.927872449
Psmd2	-0.225639091
Nhsl1	-0.316433965
Rftn1	0.921346242
Mrto4	-0.299815885
Soga1	-0.358235979
Fam222a	-0.670152583
Hoxa7	-0.36851507
Mrps14	0.403686144
Tmem216	0.513859422
Zfp658	0.818222813
Gm24920	0.921447722
Vmn1r58	0.857136928
4930448N21Rik	-0.940137369
A830080D01Rik	-0.307574361
Abcb7	0.381774147
Gm24357	0.774716382
Ddx26b	-0.311230525
Hmgb1	0.269691179
Sil1	-0.399638089
Mllt4	-0.268831011
Rrp15	-0.3589449
Mlxip	-0.264721648
Nrbp1	-0.250510262
Prkch	-0.287204499
Sgcb	0.345094239
Ubb	0.319977552
Alcam	0.278283333
Ankrd13b	0.372889034
Tdg	0.282637127
Mtmr10	0.302204706
Nmd3	-0.364785126
Tsen2	0.666790397
Gm757	-0.856073057
2210408F21Rik	-0.892487582
2310047M10Rik	-0.330809114
2410133F24Rik	0.9065855
Acsf2	0.348235579
Adck5	0.459081423
Aifm2	-0.579498613
Anxa5	0.224998721
Atp5k	0.374295836
Bag4	-0.311523664
Brwd3	-0.326706732
Casp2	0.428333175
Cd151	-0.215744332
Cln6	0.378332129
Coro1b	0.277340156
Creb3l4	0.45404975
Dhrs7	0.613364512
Dus2l	0.631116895
Eif3a	-0.276930499
Fam98c	0.348859828
Ict1	0.466077247
Kremen1	-0.299890466
L3hypdh	0.500883172
Mdm1	0.48430337
Metrnl	0.530029813
Mettl22	0.848806979
Morn1	0.77258821
Mrpl44	0.483612797
Nudcd1	0.448439318
Prosc	-0.312051619
Prrg3	-0.428449015
Rala	0.292129726
Rcan3	0.469488563
Smagp	0.542537227
Snord45b	-0.927290251
Sox12	0.445819889
Srp9	0.32738174
Tmem214	-0.335405649
Tmem63a	-0.238299021
Trpm1	0.925432083
Ubp1	-0.29355276
Wnk3	-0.621055647
Zbtb22	-0.311938077
Chrna1	0.932320275
Dleu2	-0.357542456
A530017D24Rik	0.758921825
Tmem88b	0.639768806
Lrif1	0.512934661
Tmem203	0.749043256
Emc8	-0.326602648
Eif3e	0.254101671
Kif16b	-0.29109526
Tmf1	-0.289698428
Vps52	0.35567381
Dnpep	0.320324317
Dbn1	0.387862187
Rab14	-0.247602491
Wipi2	-0.32891794
Sertad3	-0.48455885
Usp27x	-0.501449901
Nacc1	-0.261079453
Tug1	0.242464621
Galnt14	0.893940124
Rhod	-0.307604022
Cdk2ap1	-0.240624903
Chit1	0.853190361
D3Ertd254e	-0.425152039
Gm24265	0.889962187
Gm7102	0.917930757
Gtf2h5	0.376980158
Ift122	-0.366785752
Myh11	0.497326509
Polr1b	-0.369809488
Rasal1	0.881642257
Tgoln1	-0.278142649
1810009A15Rik	0.606954449
Fam50a	0.334885273
Hoxc9	0.925079478
Ica1	-0.790277887
Rnf170	0.445094418
Spata2	-0.261600621
Mtmr4	-0.368406428
Hspa14	0.332536182
Muc2	-0.751509159
Fancc	0.403688184
Gpr56	-0.323730437
Mbd1	-0.322658889
Sdcbp2	0.618629489
Styx	-0.473726374
Chdh	0.387977449
Helz2	0.398223229
Ago4	0.395925326
Lama4	0.404445703
Rab3gap2	-0.297036743
Frmd4a	0.35303837
C030006K11Rik	0.60893994
Crip3	0.915221338
E2f7	0.881803642
Exog	0.522003888
Gpr87	-0.300835239
Ier5	-0.263478757
Pced1a	0.466899536
Pkp1	0.264424441
Prdm2	-0.275126672
Tead3	-0.278230108
Tgfbr3	0.405557599
Tmc6	-0.295884233
Zfp879	-0.920820237
Zfp930	-0.756052543
Clec2e	0.812737567
Slc35e3	-0.3355308
Pip4k2c	-0.244473427
Vezf1	-0.235155209
0610031J06Rik	0.277269911
Anxa1	-0.276960398
Plekhg1	-0.404852125
Acly	-0.233517847
Slc41a2	-0.661086801
Msl2	-0.319889925
Ppt2	0.630484027
Slx4ip	0.565967387
Pdp2	-0.499907747
Osr2	0.785785928
Ring1	0.282229675
Prr5	0.917010279
Taz	0.342067556
Gm14038	-0.906174685
Actl6a	0.328119278
Ehd1	-0.360455422
Grn	0.317164647
Hs3st3a1	0.916173846
Popdc3	0.407209174
Ppih	0.587757894
Prkcb	0.908464604
Rabep1	-0.265646725
Rbp2	0.911949057
Tmem194	0.49288925
Tpm3	0.239368524
Usp31	-0.296243016
Cbx4	-0.305011926
Ifi203	0.526302466
2310030G06Rik	-0.506656826
Dph3	-0.317761627
Ppp1r35	0.571387238
Tbc1d25	-0.338946297
Tnks2	-0.235398211
Gcfc2	0.535861159
Man1a2	-0.258253775
Nsun3	-0.565433508
Zfp516	-0.298037016
Rsf1	-0.251498638
Slc36a4	-0.318937241
Gab2	-0.476670154
Aftph	-0.278340128
Ephb2	0.786398529
Gm14829	0.905761445
Ift81	-0.456598125
Il1a	0.812335778
Kcnk7	0.510783673
Lars2	0.745373414
Rpl32	0.235948259
Rps7	0.234746811
Zfp385a	-0.331451274
Ctsd	-0.209531212
Drap1	-0.252173712
Plekhn1	0.320870288
Rab11fip4	0.236249857
Rhbdl3	-0.277530964
Adal	0.619418405
Casp9	0.620390149
Kctd5	-0.33687963
Tra2a	-0.243627492
Atxn7l1	0.3460886
Cers5	-0.240181255
Fermt1	-0.299167482
Gm23935	0.862196657
Gnaz	-0.681540976
Inppl1	-0.338918551
Lyrm4	-0.553736871
Mrpl36	0.470576161
Msrb2	0.821703563
Nrcam	0.406306997
Prpf40b	-0.251661418
Rpl5	0.221485504
1-Sep	0.743452095
Suclg1	0.374506085
Suz12	-0.265351392
Tmem55b	0.273772378
Slc25a45	0.629859833
Ampd1	-0.693056505
Atf4	-0.288792771
Baz1a	-0.269227136
Csgalnact2	0.323965165
Dym	-0.289884172
Enox1	-0.249060868
Imp4	-0.305670778
Itgae	0.904238977
Kansl1	-0.257630531
Keap1	0.370574951
Nme4	0.737437929
Nop14	-0.316330762
Ovca2	0.504635866
Phactr4	-0.284559502
Ppm1g	-0.23631035
Prelp	0.583382651
Rab38	-0.407418668
Sestd1	-0.351713482
Sf3b5	0.367932636
Sox5	0.846356506
Spcs1	0.279898971
Tcerg1	-0.275202348
Tmprss2	0.901206741
Tnfsf18	0.690999569
Tsku	-0.52260961
Uchl3	0.292141109
Uqcrh	0.300864846
Wdr27	-0.851080467
Wdr5b	0.866606896
Gm15912	0.901798862
Slc35g1	0.429084395
Cntln	0.437304163
Dclre1a	0.464927734
Abcf1	-0.227481631
Adar	0.36432999
Atp8a1	-0.351271035
Fau	0.233106372
Mme	0.470632432
Ranbp1	-0.267512672
Trappc2	-0.558881354
Usp22	0.240715427
Wdr82	-0.233307441
Zfp655	-0.339343695
1810062O18Rik	0.884270359
Arfip2	0.29093443
Atp13a3	-0.359722081
Cdk2	0.266849301
Dvl3	-0.304956662
Ermap	0.854595567
Idh3b	0.262450975
Klhl3	0.679077228
Med31	-0.392791539
Pigw	-0.50077579
Ptgr1	0.333176125
Sptlc3	0.339745266
Srbd1	0.372960457
Trim14	0.884747926
6720427I07Rik	0.399607747
Abhd6	0.436665071
Ankrd50	0.244849311
Ccdc115	-0.395001398
Cenpm	0.877172945
Dcun1d3	-0.285832199
Ern1	-0.299034091
Mprip	-0.245305647
Mrpl12	0.327320957
Rabepk	0.421285417
Slc25a16	0.596683646
Snora33	0.51869896
Srrm2	-0.322785689
Dstn	-0.20841095
Asxl1	-0.26410582
Ifrd2	-0.301717703
Apcdd1	0.451164952
Ap2a1	-0.279452277
2810002D19Rik	0.63451308
Ntn3	0.872838623
Eef1g	0.215482549
Hprt	-0.265550434
Rad9b	0.73482934
Nek3	-0.587538325
Ubr4	-0.300363066
Fbxo18	0.335856075
Smtn	-0.616210594
Snapc5	0.478463497
B9d1	0.662094024
Lrrc70	-0.866242125
Yipf5	-0.277265633
Fn1	-0.38905208
9930104L06Rik	-0.532002193
A030003K02Rik	0.891651479
Atp5l	0.238477789
Ccl20	0.808607645
Cnot1	-0.241250431
Gdap2	-0.296390311
Gm26605	-0.770373292
Mcmbp	-0.25160054
Mrps2	0.508450249
Paf1	-0.245147125
Pglyrp2	0.764710696
Rapgefl1	-0.324704643
Rnf168	-0.347157113
Srd5a1	0.422632403
Stc2	0.885258169
Uxs1	0.361010291
Zbtb25	-0.591741635
Zfp30	0.797975714
Zfp579	0.477934898
Hiat1	-0.296780572
1110001J03Rik	0.584405714
Ear5	0.871339751
Faah	0.514505188
Map3k5	0.408843823
Myo9b	-0.323203403
Pafah1b1	-0.254031093
Pof1b	0.268575762
Shmt1	-0.252050759
Fam214b	-0.263448406
Ube2k	-0.244464409
Figf	0.61319469
Frmd4b	-0.26127721
Tmem222	0.347230676
Cap1	-0.238492086
2700060E02Rik	0.280131618
Fgfr2	-0.292091019
Rara	0.280795943
Mx1	0.873323942
Gm21781	0.309651791
Lphn3	0.346630113
St6galnac4	0.769399383
Abcg1	0.389268423
Arxes2	0.870388988
Ecel1	0.859523894
Fzd10	0.831305724
Lyst	-0.336834431
Rfx3	-0.336867392
Rpl27a	0.251777979
Satb2	-0.710725737
Tgm2	-0.575157542
Zc3h15	-0.251627851
Hspa4l	-0.272535805
Wnt5b	-0.374023236
Gskip	0.470914835
Zfp26	0.362218402
Lrch3	-0.33435215
Usp15	-0.287507482
Slc27a3	-0.360583334
Usp21	0.323442873
Mir1938	-0.583149333
Rpl24	-0.257446967
Tmem107	-0.441675795
Ube2e2	0.499203696
Lxn	0.504898441
Ankle2	-0.352513214
Hoxa6	-0.543612712
Poli	0.649767147
Rmi1	0.387055969
Yaf2	0.326298344
Mrpl42	0.39409543
Fance	0.373484811
Samd11	0.672668101
Cmpk1	0.280707386
Trappc8	-0.269444212
Zbed3	0.855601412
Ap1g2	0.326048649
Vamp2	-0.281679559
Ftsj3	-0.268636877
3110040N11Rik	0.653422691
Amd1	-0.304622087
Arhgap17	-0.320800841
C230052I12Rik	0.665540072
Clmn	-0.308795678
Cx3cl1	0.265505559
Dffa	0.405555455
Entpd2	0.483713345
Fuz	0.363934433
Ifngr2	0.362335701
Lactb	-0.347345704
Mdc1	-0.282418264
Ncoa2	-0.254498555
Nop2	-0.287996943
Ostf1	0.335079593
Pi16	0.636397851
Qsox1	-0.652319964
Rangap1	-0.26778874
Snrpc	0.31253021
Zdhhc24	0.629532181
Zfp619	-0.45198166
Zfp688	0.722185419
Esco1	-0.283275586
Ano10	0.394642758
Atp6v1f	-0.277005081
Epb4.1	0.263284653
Idh3g	0.252170911
Hscb	0.447613804
Fbxl14	-0.301445553
Gm4631	0.799793732
Lrdd	0.856616719
3110002H16Rik	0.271467481
9530026P05Rik	0.876009778
Acadm	0.306528942
Lekr1	0.794501823
Mapre1	-0.279612496
S100a10	-0.28746294
Zfp667	0.549674286
Cdkn1c	-0.441994752
Ddost	0.296138468
Fam32a	0.309627198
Fam134a	0.249334734
Sfswap	-0.266202146
Morc4	-0.352575737
2310058D17Rik	0.873434903
Pus3	0.444979572
Txndc5	-0.238895482
A730017C20Rik	-0.69644204
Alg5	0.358337521
Fam71a	0.468665788
Grwd1	-0.307724284
Hist3h2a	0.787703021
Mamstr	-0.628617205
Slc5a5	-0.87100411
Zfand3	-0.24517537
Tbc1d8	-0.303382185
Sord	-0.29098864
Bbs2	-0.329275742
Mmgt1	0.266170916
BC005764	0.398129877
BC030867	0.84229762
Hyal3	-0.808132437
Lpl	0.534735481
Met	-0.309738606
Plekha6	0.642689236
St3gal6	0.718558552
Taf1a	-0.387369316
Usp42	-0.261883032
N6amt2	0.585655692
Fgfrl1	-0.359174435
Gm19557	0.862696129
Plin4	0.854734489
Pola1	0.360150653
Hspb2	0.856328794
9330182L06Rik	0.825167859
Camkv	0.803807387
Ccdc101	0.398612729
Fbxw17	0.63250242
Gtse1	0.721896489
Mum1	0.358595157
Setd2	-0.232559781
Ttc14	0.297375694
Fam131a	-0.458033854
Prpf40a	-0.242954356
Rpl10a-ps1	0.767842783
Gstm5	0.292248068
Bnip3l	0.258958633
Ccnd3	0.257175339
Cfp	0.721928406
D330041H03Rik	0.769909679
Vamp3	-0.265526451
Mpc2	0.333270532
Ankrd17	-0.231863965
Rgs12	-0.30775619
Pgrmc1	-0.268500829
Pard6a	0.621876587
Tomm40	-0.257560585
Cand1	-0.231247445
Mcm9	0.495411403
Gigyf2	-0.261829451
Sqrdl	0.641528275
Fam188a	-0.275852951
Zfp830	-0.288501481
Col1a1	0.772985906
Atp5h	0.276885557
Atr	0.339333802
Cox6c	0.277779814
Ctdsp1	-0.2309866
Ifitm1	0.859312535
Tnfrsf22	-0.582934797
Gm14325	0.496048444
Tm7sf3	0.312129558
Agfg1	-0.314313889
G6pc3	0.342292681
Pik3cb	-0.265563344
Zwint	0.287056825
Zfp318	-0.273292097
Gpr3	0.486507003
Ssu72	0.357909089
Gpatch8	-0.24388187
Igfals	-0.793763412
Rad23a	0.310604903
F2rl1	-0.279070458
Ntpcr	0.489165025
Rps6ka2	-0.477665695
Rpusd3	0.744314378
Dnase2a	0.277240903
Klf6	-0.260981101
Rapgef5	-0.32491708
Zfp426	-0.482474826
Cct4	0.227343592
D10Wsu102e	-0.285747058
Lrig3	-0.273838933
Commd4	0.383863107
Ddx56	-0.307785885
Ebna1bp2	-0.248735668
Flrt1	0.73049653
Usp37	-0.269825067
Noc3l	-0.355603522
Ephx2	-0.453619701
2610002J02Rik	0.395542644
Abhd12	0.3026647
Tbc1d9	0.419936771
Gm17257	0.817785409
Gm6136	0.807483761
Rp9	0.339663621
5430416N02Rik	-0.310828086
C1galt1	0.339616369
Meis1	0.433138597
Srp54a	-0.789388276
Ube2cbp	-0.702111259
Dhrs7b	0.398368911
Qtrtd1	-0.298492189
Sdr39u1	0.400636046
Zfp821	-0.28147429
Apool	0.565355282
9130221H12Rik	0.511188216
Dmkn	-0.243351035
Hmcn2	0.852324501
Mrpl28	0.347298121
Nradd	0.344446015
Trim7	0.589124641
2810025M15Rik	0.368269761
5530601H04Rik	0.43833547
Adrbk1	-0.22921557
Arhgef39	0.688818038
Baz2b	-0.287023722
Bre	-0.359891124
Card14	0.657179425
Coro7	0.315135924
Dhtkd1	-0.600814972
Eml4	-0.301126389
Fam53a	0.408792168
Gm15726	-0.724029471
Gm20481	-0.849021973
Gnpda1	0.580818899
Mapk6	-0.26451885
Med13l	-0.241406726
Mndal	0.655612863
Pcgf3	-0.249718927
Phf12	-0.250030948
Ptprg	-0.288869087
Rbmxl1	-0.250238527
Rnf113a2	-0.479443131
Slc19a2	-0.278807188
Slc25a53	0.682755375
Slc7a3	0.794076853
Smarca5	-0.258640204
Tacr1	0.771456135
Wdr45	0.32863059
Zfp652	0.279505668
Pde4dip	0.40277438
BC005537	-0.252831651
Cks1b	0.330537737
Ddah2	-0.290887112
Prim1	0.334910912
Thy1	-0.712930922
Mapre2	-0.351552687
Ube2g2	-0.283309038
Angel2	0.24992655
Cxcl12	0.370286249
Gm24411	-0.747748514
Ackr4	0.354102766
Mbtd1	-0.252526568
Cetn3	0.277042659
Fam173b	0.522300524
Fbxo38	-0.264611316
Rundc3b	-0.850074535
Dusp10	-0.310933642
Dusp22	0.397743595
Anp32e	-0.219997318
Clec4e	0.849664414
Cpsf7	-0.257920383
Kif26b	0.547963469
Mlh1	0.420099705
Rps15a-ps4	-0.797708508
Slc12a9	-0.358677159
Stoml2	0.322972707
Gsap	0.611353964
Col4a3bp	-0.254963187
BC056474	0.2868211
Crbn	0.295555628
Il1rap	0.304891766
Izumo1	0.831260047
Acbd3	-0.238562618
Dmxl1	-0.279638605
Lce1i	0.767571305
Phc1	-0.471909257
9330151L19Rik	-0.563652865
Abi2	-0.319749486
Brd9	0.278472504
Emr1	0.804510074
Gle1	0.313981144
Mettl21d	0.535395143
Mgll	0.44141468
Nedd4l	-0.597892232
Rnf185	-0.288620792
Sirt5	0.846370691
Slfn9	0.703559052
Snora68	0.597810904
U2af1	-0.227276669
Cpox	0.326891793
Dnajb1	-0.253862925
Fbrsl1	-0.264380376
Il12rb2	0.748966825
Luzp1	-0.253073872
Zc3h6	0.450915787
Eaf1	-0.315074535
Gm17251	0.566231025
Mon1b	0.374638491
Mpp5	-0.285899223
Rpa1	0.291005156
Sh3d19	-0.212965844
Tmem8	-0.843981811
Dtx2	-0.238052929
Ptplb	0.285874315
Shank2	-0.785273533
Snrnp25	0.499754612
Snip1	-0.309916648
Acadsb	0.273346734
Gm26705	-0.734848052
Gpr115	0.43856166
Sergef	-0.480943943
Snx17	0.26112115
Foxred2	0.426759375
2810428I15Rik	0.345964394
A930015D03Rik	-0.741109303
Arhgdig	0.780183868
Jmy	0.268009056
Lrpprc	0.268865313
Mcts1	0.370573591
Npepps	-0.234742037
Pknox2	-0.457663628
Sema3f	0.522961044
Vimp	-0.305283988
Zfyve21	0.49246038
Anxa2	-0.264954343
Cct7	-0.207015768
Cdk13	-0.247483527
